"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","Price = $(-1)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","260","Get product by invalid id","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","263","Get product by id","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","275","Get all categories","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","282","Price = $(<script>alert('pwned')</script>)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","532","Delete product by id","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","9","Registered user data exists in storage","api-tests","2026-04-16","passed","2026-04-16","Register Flow (verify globalSetup)","tests/api/authentication/register.spec.ts","",""
"","275","Price = $(сто)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","858","Get logged in user","api-tests","2026-04-16","passed","2026-04-16","Auth Flow (after globalSetup)","tests/api/authentication/login.spec.ts","",""
"","367","Can login with credentials","api-tests","2026-04-16","passed","2026-04-16","Auth Flow (after globalSetup)","tests/api/authentication/login.spec.ts","",""
"","304","Create product with access","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","270","Get all products","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","284","Price = $(0.001)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","278","Price = $(10 OR 1=1)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","268","Create category with access","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","261","Create category without access","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","275","Price = $(100)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","301","Create product without access","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","284","Price = $(0)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","269","Update product by id","api-tests","2026-04-16","passed","2026-04-16","Products CRUD","tests/api/products/products.spec.ts","",""
"","264","Price = $(null)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","276","Price = $()","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","294","Price = $(999999999)","api-tests","2026-04-16","passed","2026-04-16","Products CRUD > Create product with boundary price values","tests/api/products/products.spec.ts","",""
"","12","User is already logged in (has accessToken)","api-tests","2026-04-16","passed","2026-04-16","Auth Flow (after globalSetup)","tests/api/authentication/login.spec.ts","",""
"","1002","Can register a new user","api-tests","2026-04-16","passed","2026-04-16","Register Flow (verify globalSetup)","tests/api/authentication/register.spec.ts","",""
